,tconst,title,runtime_minutes,genres,averagerating,numvotes,release_date,studio,domestic_gross,foreign_gross
15,tt0337692,On the Road,124.0,"Adventure,Drama,Romance",6.1,37886.0,2012-12-21,IFC,744000.0,8000000
18,tt0359950,The Secret Life of Walter Mitty,114.0,"Adventure,Comedy,Drama",7.3,275300.0,2013-12-25,Fox,58200000.0,129900000
21,tt0365907,A Walk Among the Tombstones,114.0,"Action,Crime,Drama",6.5,105116.0,2014-09-19,Uni.,26300000.0,26900000
22,tt0369610,Jurassic World,124.0,"Action,Adventure,Sci-Fi",7.0,539338.0,2015-06-12,Uni.,652300000.0,"1,019.4"
23,tt0372538,Spy,110.0,"Action,Crime,Drama",6.6,78.0,2011-08-09,Fox,110800000.0,124800000
27,tt0376136,The Rum Diary,119.0,"Comedy,Drama",6.2,94787.0,2011-10-27,FD,13100000.0,10800000
31,tt0383010,The Three Stooges,92.0,"Comedy,Family",5.1,28570.0,2012-04-13,Fox,44300000.0,10500000
33,tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366.0,2010-11-24,BV,200800000.0,391000000
34,tt0401729,John Carter,132.0,"Action,Adventure,Sci-Fi",6.6,241792.0,2012-03-09,BV,73100000.0,211100000
35,tt3896100,Capture the Flag,94.0,"Adventure,Animation,Comedy",5.9,3121.0,2015-12-04,Par.,6700.0,24600000
39,tt0409847,Cowboys & Aliens,119.0,"Action,Sci-Fi,Thriller",6.0,195889.0,2011-07-29,Uni.,100200000.0,74600000
49,tt0427152,Dinner for Schmucks,114.0,Comedy,5.9,91546.0,2010-07-30,P/DW,73000000.0,13800000
50,tt0429493,The A-Team,117.0,"Action,Adventure,Thriller",6.8,235256.0,2010-06-11,Fox,77200000.0,100000000
51,tt0431021,The Possession,92.0,"Horror,Mystery,Thriller",5.9,53649.0,2012-08-31,LGF,49100000.0,36300000
52,tt0433035,Real Steel,127.0,"Action,Drama,Family",7.1,283534.0,2011-10-06,BV,85500000.0,213800000
54,tt0435651,The Giver,97.0,"Drama,Romance,Sci-Fi",6.5,104999.0,2014-08-11,Wein.,45100000.0,21900000
55,tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218.0,2010-06-17,BV,415000000.0,652000000
56,tt0443272,Lincoln,150.0,"Biography,Drama,History",7.4,228701.0,2012-11-16,BV,182200000.0,93100000
59,tt0446029,Scott Pilgrim vs. the World,112.0,"Action,Comedy,Fantasy",7.5,339338.0,2010-08-13,Uni.,31500000.0,16100000
61,tt0448694,Puss in Boots,90.0,"Action,Adventure,Animation",6.6,133355.0,2011-10-28,P/DW,149300000.0,405700000
72,tt0451279,Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527.0,2013-09-29,WB,412600000.0,409300000
80,tt0454876,Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836.0,2012-11-21,Fox,125000000.0,484000000
82,tt0455407,The Crazies,101.0,"Horror,Thriller",6.5,104465.0,2010-02-26,Over.,39100000.0,15700000
83,tt0455944,The Equalizer,132.0,"Action,Crime,Thriller",7.2,302302.0,2014-09-26,Sony,101500000.0,90800000
84,tt0458339,Captain America: The First Avenger,124.0,"Action,Adventure,Sci-Fi",6.9,668137.0,2011-07-22,Par.,176700000.0,193900000
85,tt0458413,A Long Way Down,96.0,"Comedy,Drama",6.4,29260.0,2014-06-05,Magn.,13300.0,7200000
89,tt0460890,The Only Living Boy in New York,89.0,Drama,6.3,8727.0,2017-08-11,RAtt.,624000.0,1900000
94,tt0464154,Piranha 3D,88.0,"Comedy,Horror",5.4,81327.0,2010-08-20,W/Dim.,25000000.0,58200000
97,tt0470752,Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542.0,2015-04-10,A24,25400000.0,11400000
98,tt0471042,Tower Heist,104.0,"Action,Comedy,Crime",6.2,125102.0,2011-11-04,Uni.,78000000.0,74900000
99,tt0472181,The Smurfs,103.0,"Adventure,Animation,Comedy",5.5,77577.0,2011-07-29,Sony,142600000.0,421100000
100,tt0472399,The Mechanic,93.0,"Action,Crime,Thriller",6.6,141254.0,2011-01-28,CBS,29100000.0,47000000
101,tt0473075,Prince of Persia: The Sands of Time,116.0,"Action,Adventure,Fantasy",6.6,254975.0,2010-05-27,BV,90800000.0,245600000
102,tt0475290,"Hail, Caesar!",106.0,"Comedy,Drama,Music",6.3,111422.0,2016-02-05,Uni.,30500000.0,33100000
103,tt0477080,Unstoppable,98.0,"Action,Thriller",6.8,173019.0,2010-11-12,Fox,81600000.0,86200000
111,tt0477302,Extremely Loud & Incredibly Close,129.0,"Adventure,Drama,Mystery",6.9,93164.0,2011-12-24,WB,31800000.0,23400000
112,tt0478304,The Tree of Life,139.0,"Drama,Fantasy",6.8,156266.0,2011-05-27,FoxS,13300000.0,41000000
113,tt0478970,Ant-Man,117.0,"Action,Adventure,Comedy",7.3,501213.0,2015-07-17,BV,180200000.0,339100000
115,tt0479997,Season of the Witch,95.0,"Action,Adventure,Fantasy",5.4,85777.0,2011-01-07,Rela.,24800000.0,66800000
117,tt0480255,The Losers,97.0,"Action,Adventure,Crime",6.4,83876.0,2010-04-23,WB,23600000.0,5800000
119,tt0480687,Hall Pass,105.0,"Comedy,Romance",5.9,113775.0,2011-02-25,WB (NL),45100000.0,38100000
120,tt0481499,The Croods,98.0,"Action,Adventure,Animation",7.2,176699.0,2013-03-22,Fox,187200000.0,400000000
123,tt0485985,Red Tails,125.0,"Action,Adventure,Drama",5.9,31815.0,2012-01-11,Fox,49900000.0,489000
164,tt0491152,Something Borrowed,112.0,"Comedy,Drama,Romance",5.9,54314.0,2011-05-05,WB,39000000.0,21100000
167,tt0491203,Tulip Fever,105.0,"Drama,History,Romance",6.2,15037.0,2017-08-25,Wein.,2500000.0,5900000
168,tt0492389,Furry Vengeance,92.0,"Comedy,Family",3.8,14700.0,2010-04-02,Sum.,17600000.0,18600000
174,tt0493949,Ramona and Beezus,103.0,"Adventure,Comedy,Family",6.6,16086.0,2010-07-23,Fox,26200000.0,1100000
181,tt0498381,Rings,102.0,"Drama,Horror,Mystery",4.5,34151.0,2017-02-03,Par.,27800000.0,55300000
185,tt0763831,A Thousand Words,91.0,"Comedy,Drama",5.9,36387.0,2012-03-08,P/DW,18500000.0,3600000
188,tt0770703,What's Your Number?,106.0,"Comedy,Romance",6.1,67922.0,2011-09-30,Fox,14000000.0,16399999
191,tt0770828,Man of Steel,143.0,"Action,Adventure,Sci-Fi",7.1,647288.0,2013-06-14,WB,291000000.0,377000000
199,tt0780653,The Wolfman,103.0,"Drama,Fantasy,Horror",5.8,97873.0,2010-02-12,Uni.,62000000.0,77800000
201,tt0787474,The Boxtrolls,96.0,"Adventure,Animation,Comedy",6.8,50763.0,2014-09-26,Focus,50800000.0,58400000
202,tt0787524,The Man Who Knew Infinity,108.0,"Biography,Drama",7.2,43575.0,2016-04-29,IFC,3900000.0,8400000
203,tt0790628,The Incredible Burt Wonderstone,100.0,"Adventure,Comedy,Fantasy",5.9,67549.0,2013-03-15,WB (NL),22500000.0,4900000
204,tt0790636,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462.0,2013-11-22,Focus,27300000.0,27900000
207,tt0790663,The First Grader,103.0,"Biography,Drama,Romance",7.5,4052.0,2010-09-04,NGE,332000.0,382000
208,tt0790724,Jack Reacher,130.0,"Action,Crime,Thriller",7.0,284547.0,2012-12-21,Par.,80100000.0,138300000
209,tt0790736,R.I.P.D.,96.0,"Action,Adventure,Comedy",5.6,109078.0,2013-07-19,Uni.,33600000.0,44700000
210,tt0790770,Miles Ahead,100.0,"Biography,Drama,Music",6.4,8498.0,2015-10-10,SPC,2600000.0,850000
217,tt0795461,Scary Movie 5,86.0,Comedy,3.5,60139.0,2013-04-12,W/Dim.,32000000.0,46400000
223,tt0800369,Thor,115.0,"Action,Adventure,Fantasy",7.0,683264.0,2011-05-06,Par.,181000000.0,268300000
224,tt0803096,Warcraft,123.0,"Action,Adventure,Fantasy",6.9,225557.0,2016-06-10,Uni.,47400000.0,386300000
226,tt0804497,It's Kind of a Funny Story,101.0,"Comedy,Drama,Romance",7.1,125583.0,2010-10-08,Focus,6400000.0,128000
227,tt0804509,The Mule,100.0,"Comedy,Drama",6.2,653.0,2014-03-10,WB,103800000.0,68700000
233,tt0808510,Tooth Fairy,101.0,"Comedy,Family,Fantasy",5.0,37939.0,2010-01-22,Fox,60000000.0,52400000
235,tt0810819,The Danish Girl,119.0,"Biography,Drama,Romance",7.1,146873.0,2015-11-27,Focus,11100000.0,53100000
238,tt0810913,Jack and Jill,91.0,Comedy,3.3,71361.0,2011-11-11,Sony,74200000.0,75500000
252,tt0815236,She's Out of My League,104.0,"Comedy,Romance",6.4,117245.0,2010-03-12,Par.,32000000.0,17800000
253,tt0816442,The Book Thief,131.0,"Drama,War",7.6,119023.0,2013-11-08,Fox,21500000.0,55100000
255,tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334.0,2014-11-05,Par.,188000000.0,489400000
256,tt0816711,World War Z,116.0,"Action,Adventure,Horror",7.0,553751.0,2013-06-21,Par.,202400000.0,337600000
261,tt0817230,Valentine's Day,125.0,"Comedy,Romance",5.7,107171.0,2010-02-11,WB (NL),110500000.0,106000000
263,tt0822847,Priest,87.0,"Action,Adventure,Fantasy",5.7,108320.0,2011-05-13,SGem,29100000.0,49200000
265,tt0829150,Dracula Untold,92.0,"Action,Drama,Fantasy",6.3,164829.0,2014-10-03,Uni.,56300000.0,160800000
274,tt0837562,Hotel Transylvania,91.0,"Animation,Comedy,Family",7.1,204571.0,2012-09-28,Sony,148300000.0,210100000
275,tt0840361,The Town,125.0,"Crime,Drama,Thriller",7.6,322524.0,2010-09-17,WB,92200000.0,61800000
276,tt0842926,The Kids Are All Right,106.0,"Comedy,Drama,Romance",7.0,120656.0,2010-07-09,Focus,20800000.0,13900000
281,tt0848537,Epic,102.0,"Adventure,Animation,Family",6.7,95318.0,2013-05-24,Fox,107500000.0,160900000
287,tt0850709,Risen,121.0,"Biography,Drama",5.3,182.0,2016-02-18,Sony,36900000.0,9200000
291,tt0857190,The Sweeney,112.0,"Action,Crime,Drama",6.1,18095.0,2013-03-01,EOne,26700.0,6300000
294,tt0860907,Evangelion: 3.0 You Can (Not) Redo,96.0,"Action,Animation,Drama",7.0,8215.0,2014-01-10,Elev.,175000.0,60300000
295,tt0864835,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277.0,2014-03-07,Fox,111500000.0,164200000
298,tt0872230,My Soul to Take,107.0,"Horror,Mystery,Thriller",4.8,18381.0,2010-10-08,Uni.,14700000.0,6200000
305,tt0878835,Please Give,87.0,"Comedy,Drama",6.6,10652.0,2010-01-22,SPC,4000000.0,280000
310,tt0879870,Eat Pray Love,133.0,"Drama,Romance",5.8,77709.0,2010-08-12,Sony,80600000.0,124000000
311,tt0881320,Sanctum,108.0,"Adventure,Drama,Thriller",5.9,51318.0,2011-02-04,Uni.,23200000.0,85400000
315,tt0884726,Legends of Oz: Dorothy's Return,88.0,"Adventure,Animation,Family",5.5,5351.0,2014-05-09,CE,8500000.0,10200000
316,tt0884732,The Wedding Ringer,101.0,Comedy,6.7,66893.0,2015-01-16,SGem,64500000.0,15300000
